Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-08-18T13:18:46.629+00:00,44m 33s,Gold 1,E3: A1,defeat,Bind,Omen,12,14,13,21,4,7,16.27906976744186,2394,3951,0.6190476190476191
2021-08-18T12:25:00.971+00:00,43m 02s,Gold 1,E3: A1,defeat,Icebox,Skye,13,15,13,20,8,9,16.666666666666664,3104,3616,0.65
2021-08-18T10:45:22.338+00:00,36m 07s,Gold 1,E3: A1,victory,Breeze,Omen,13,11,16,18,2,11,21.818181818181817,3142,3425,0.8888888888888888
2021-08-06T15:27:40.046+00:00,18m 57s,Gold 1,E3: A1,defeat,Split,Omen,3,9,4,10,2,3,20.0,926,1822,0.4
2021-08-06T14:32:30.256+00:00,36m 46s,Gold 1,E3: A1,victory,Haven,Omen,13,10,8,19,9,5,11.627906976744185,2003,3270,0.42105263157894735
2021-07-31T17:10:06.782+00:00,29m 48s,Gold 1,E3: A1,defeat,Icebox,Omen,5,13,13,16,1,6,11.320754716981133,2337,2462,0.8125
2021-07-17T11:44:25.93+00:00,40m 22s,Gold 1,E3: A1,victory,Split,Omen,13,10,14,18,8,6,14.285714285714285,2594,3293,0.7777777777777778
2021-07-07T14:22:26.46+00:00,43m 00s,Gold 1,E3: A1,defeat,Split,Cypher,11,13,11,16,5,3,8.88888888888889,1974,2787,0.6875
2021-07-07T13:45:34.626+00:00,32m 18s,Gold 1,E3: A1,victory,Icebox,Sage,13,8,8,16,0,5,17.857142857142858,1331,2834,0.5
2021-07-07T12:46:43.8+00:00,40m 18s,Gold 1,E3: A1,defeat,Bind,Cypher,11,13,17,17,4,8,14.0625,2613,2622,1.0
2021-07-06T15:21:56.211+00:00,26m 37s,Gold 1,E3: A1,defeat,Ascent,Sage,7,13,9,17,4,6,13.114754098360656,2382,3117,0.5294117647058824
2021-06-27T15:42:13.369+00:00,29m 56s,Gold 1,E3: A1,defeat,Ascent,Sage,6,13,10,18,2,5,13.043478260869565,2107,3230,0.5555555555555556
2021-06-25T11:51:14.335+00:00,43m 27s,Unranked,E3: A1,victory,Bind,Killjoy,13,10,20,17,7,8,13.186813186813188,3201,3047,1.1764705882352942
2021-06-25T11:26:30.702+00:00,21m 04s,Unranked,E3: A1,defeat,Split,Killjoy,3,13,9,15,1,5,18.6046511627907,1785,2502,0.6
2021-06-25T10:37:33.863+00:00,37m 19s,Unranked,E3: A1,defeat,Icebox,Jett,10,13,28,17,6,19,24.137931034482758,4817,2970,1.6470588235294117
2021-06-25T10:03:17.803+00:00,31m 40s,Unranked,E3: A1,defeat,Haven,Killjoy,6,13,16,16,4,12,26.08695652173913,3064,2706,1.0
2021-06-24T22:02:35.159+00:00,37m 53s,Unranked,E3: A1,defeat,Bind,Killjoy,11,13,31,18,4,28,33.6734693877551,6028,3491,1.7222222222222223
2021-06-05T22:43:29.409+00:00,31m 27s,Platinum 1,E2: A3,victory,Bind,Cypher,13,5,19,8,2,10,16.666666666666664,2939,1519,2.375
2021-06-05T22:10:17.297+00:00,28m 17s,Platinum 1,E2: A3,defeat,Icebox,Astra,7,13,11,14,4,6,14.583333333333334,2327,2208,0.7857142857142857
2021-06-05T21:21:50.838+00:00,37m 30s,Platinum 1,E2: A3,victory,Split,Omen,13,11,8,17,6,2,15.254237288135593,1927,2912,0.47058823529411764
