Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-05-23T23:08:09.026+00:00,38m 03s,Platinum 1,E2: A3,defeat,Haven,Jett,11,13,19,20,5,10,14.705882352941178,3672,3742,0.95
2021-05-23T22:26:44.643+00:00,33m 06s,Gold 3,E2: A3,victory,Icebox,Sage,13,7,9,16,11,5,17.073170731707318,1936,2586,0.5625
2021-05-22T22:04:11.961+00:00,28m 45s,Platinum 1,E2: A3,defeat,Breeze,Omen,7,13,12,16,0,10,37.03703703703704,2020,2360,0.75
2021-05-22T21:14:35.65+00:00,36m 23s,Platinum 1,E2: A3,defeat,Split,Omen,11,13,23,18,5,6,6.730769230769231,3958,3219,1.2777777777777777
2021-05-18T23:35:38.049+00:00,27m 24s,Gold 3,E2: A3,victory,Ascent,Sage,13,5,9,8,13,5,11.904761904761903,1901,1705,1.125
2021-05-16T00:52:36.29+00:00,34m 10s,Gold 3,E2: A3,defeat,Icebox,Skye,9,13,4,18,8,2,7.4074074074074066,1133,3108,0.2222222222222222
2021-05-15T22:08:47.849+00:00,40m 44s,Gold 3,E2: A3,victory,Ascent,Sage,13,11,10,20,13,5,14.545454545454545,2492,3288,0.5
2021-05-15T21:30:35.542+00:00,29m 30s,Gold 3,E2: A3,victory,Ascent,Sage,13,5,11,10,6,6,20.0,1921,2089,1.1
2021-05-13T00:41:49.26+00:00,35m 17s,Gold 3,E2: A3,victory,Icebox,Omen,13,9,15,13,2,5,7.462686567164178,2817,2455,1.1538461538461537
2021-05-11T23:24:13.88+00:00,38m 19s,Gold 3,E2: A3,defeat,Split,Omen,10,13,14,18,2,7,12.5,2504,2833,0.7777777777777778
2021-05-11T22:41:52.41+00:00,39m 12s,Gold 3,E2: A3,victory,Split,Omen,13,11,11,16,5,6,12.0,2327,2671,0.6875
2021-05-10T00:13:14.378+00:00,31m 00s,Gold 3,E2: A3,defeat,Split,Omen,7,13,9,16,1,5,8.771929824561402,1816,2711,0.5625
2021-05-09T23:41:33.16+00:00,28m 37s,Gold 3,E2: A3,defeat,Haven,Cypher,6,13,10,17,2,4,16.666666666666664,1314,2869,0.5882352941176471
2021-05-09T23:14:56.482+00:00,23m 22s,Gold 3,E2: A3,victory,Bind,Omen,11,4,12,9,1,9,21.951219512195124,2075,1626,1.3333333333333333
2021-05-08T23:16:57.45+00:00,36m 32s,Gold 3,E2: A3,victory,Split,Omen,13,11,17,16,8,8,14.084507042253522,3319,2784,1.0625
2021-05-08T21:23:29.774+00:00,35m 54s,Gold 3,E2: A3,defeat,Haven,Sage,9,13,12,18,6,5,12.5,1652,2943,0.6666666666666666
2021-05-08T20:11:56.904+00:00,29m 29s,Gold 3,E2: A3,victory,Haven,Sage,13,6,10,12,6,5,17.647058823529413,1621,2079,0.8333333333333334
2021-05-08T19:38:38.262+00:00,26m 02s,Gold 3,E2: A3,defeat,Icebox,Skye,5,13,3,15,4,2,11.11111111111111,1160,2318,0.2
2021-05-07T21:08:40.898+00:00,37m 49s,Platinum 1,E2: A3,defeat,Bind,Omen,12,14,10,19,4,6,14.893617021276595,2262,3356,0.5263157894736842
2021-05-07T20:29:45.25+00:00,29m 57s,Platinum 1,E2: A3,defeat,Haven,Cypher,6,13,12,15,3,3,6.451612903225806,2152,2289,0.8
